 news.128.t:0 "La caída de Berlín"
 news.240.a:0 "Menuda sorpresa."
 news.240.b:0 "Uno hace lo que ha de hacer para sobrevivir."
 news.240.c:0 "[AST.GetNameDef] controla el Pacífico."
 news.241.t:0 "[NZL.GetNameDef] se somete al influjo [AST.GetAdjective]"
 news.241.d:0 "Tras la instauración de un estado socialista de los trabajadores en Australia, el gobierno [AST.GetAdjective] está trabajando para ampliar su influencia en la región. Aludiendo a llamadas de granjeros y trabajadores oprimidos en [NZL.GetNameDef], [AST.GetNameDef] ha presionado al gobierno [NZL.GetAdjective] para que se una a la "Unión Popular" del Pacífico Sur.\n\nViéndose acorralada y sin gran esperanza de recibir la ayuda de [ENG.GetFactionName], [NZL.GetNameDef] ha cedido a las exigencias. Aunque [AST.GetLeader] proclama "la igualdad de todos los estados como extensión de la igualdad de todas las personas", no ha quedado duda de qué estado lleva las riendas."
 news.241.a:0 "Las cosas están cambiando en el Pacífico."
 news.241.b:0 "No teníamos elección, así que... por la revolución."
 news.241.c:0 "Quiero oíros decir... "¡por la revolución!"."
 news.242.t:0 "[AST.GetNameDef] asume el control de las colonias del sureste asiático"
 news.242.d:0 "La doctrina militar de [ENG.GetNameDef] lleva mucho tiempo enfrentándose al problema de la defensa del sureste asiático. Ahora que [AST.GetNameDef] asume la responsabilidad de la defensa de Singapur y Borneo para responder a la actividad militar hostil en la zona, podría ser el final de este problema.\n\nEsta transferencia de poder incluye, al menos por el momento, la administración civil de las regiones coloniales para permitir a [AST.GetNameDef] cualquier medida necesaria para mantener a su continente a salvo de ataques ultramarinos. Las implicaciones políticas de este movimiento para [ENG.GetNameDef], [AST.GetNameDef] y [MAL.GetNameDef] siguen sin estar claras, pero lo que sí lo está es que [AST.GetNameDef] tiene la ventaja de jugar en casa."
 news.242.a:0 "Esto cambia el equilibrio de poder del sureste asiático."
 news.242.b:0 "Esperemos que [AST.GetNameDef] no lo estropee."
 news.242.c:0 "¡Perfecto! Todo avanza según los planes."
 news.243.t:0 "[AST.GetNameDef] y [JAP.GetNameDef] anuncian alianza"
 news.243.d:0 "Con las recientes ganancias de [AST.GetNameDef] y [JAP.GetNameDef] en Asia Oriental y el Pacífico, muchos observadores esperaban que fuese cuestión de tiempo que los dos florecientes imperios se incorporasen al conflicto. Sin embargo, los países han alcanzado un acuerdo de cooperación en lo que ha sido rápidamente denominado "la barrera del Pacífico".\nNingún país ha hecho públicos los detalles, de modo que muchos aspectos siguen sin saberse. Lo que sí es seguro es que ambas partes se han garantizado apoyo militar para "contrarrestar los avances de extranjeros codiciosos en nuestras respectivas regiones".\n\nEs demasiado pronto para conocer el aspecto del orden mundial concebido por [JAP.GetNameDef] y [AST.GetNameDef], pero no hay duda de que [AST.GetFactionName] es ahora la fuerza dominante del Pacífico."
 news.243.a:0 "Desconcertante, como poco."
 news.243.b:0 "[Root.GetNameDef] aprueba la cooperación con todos los que no se interpongan."
 news.243.c:0 "Es una gran alianza, al menos de momento."
 news.244.t:0 "[AST.GetNameDef] establece esfera de influencia"
 news.244.d:0 "En un movimiento sorprendente para los observadores, [AST.GetNameDef] presentó su propia organización de tratado independiente. [AST.GetLeader] ha anunciado que [AST.GetNameDef] buscará aliados en un intento de mantener la estabilidad en el contexto del sureste de Asia y del Pacífico y más allá, y para responder a las agresiones del estado [AST.GetAdjective] y de otros si fuese necesario.\n\nTras distender recientemente sus vínculos con la Mancomunidad de Naciones, este parece un paso obvio para convertir a [AST.GetNameDef] en soberana de su destino."
 news.244.a:0 "Mueven ficha para lograr el dominio."
 news.244.b:0 "¡No permitiremos que Europa gobierne nuestras tierras!"
 news.245.t:0 "[USA.GetNameDef] se une a la iniciativa de defensa [AST.GetAdjective]"
 news.245.d:0 "Preocupados por la creciente importancia estratégica de la zona, [AST.GetNameDef] y [USA.GetNameDef] han firmado un tratado de cooperación en el Pacífico. Aunque está diseñado para mantener la estabilidad política de la zona, y por extensión del tráfico transpacífico, el tratado también se pronuncia en cuanto a defensa militar, y permite a ambos países la imposición de su autoridad en zonas mucho más amplias que las reivindicadas actualmente.\n\nAhora que esta enorme zona está "protegida" por Australia y Norteamérica, es solo cuestión de tiempo que la mencionada imposición de autoridad se ponga a prueba."
 news.245.a:0 "Un movimiento fascinante..."
 news.245.b:0 "Esto asegura nuestra posición de potencia dominante en el Pacífico."
 news.245.c:0 "Juntos, mantendremos la estabilidad en el hemisferio."
 news.246.t:0 "[USA.GetNameDef] y [CAN.GetNameDef] afianzan su alianza"
 news.246.d:0 "Después de haber cooperado en un consejo para la defensa conjunta, [USA.GetNameDef] y [CAN.GetNameDef] desarrollan una nueva alianza. Bajo el nombre de [CAN.GetFactionName], este programa aspira a afianzar los intereses norteamericanos en todos los asuntos exteriores, lo que incluye cualquier forma de actividad defensiva y militar.\n\n[CAN.GetNameDef] sigue buscando su espacio tras la etapa colonial, y el mundo de la política [USA.GetAdjective] no se decanta por el aislacionismo ni por el intervencionismo; pero el recién firmado pacto podría ofrecer a ambos países el fin común en cuanto a política internacional que tanto necesitan."
 news.246.a:0 "¿Mirarán hacia las Américas, o más allá?"
 news.246.b:0 "¡Hermanos de tierra, hermanos de armas!"
 news.246.c:0 "No puede existir una amenaza en nuestra propia casa."
 news.247.t:0 "¡[CAN.GetNameDef] se une a la alianza [GER.GetAdjective]!"
 news.247.d:0 "Tras unas fugaces negociaciones, [CAN.GetNameDef] ha anunciado su firma y adhesión a [GER.GetFactionName]. El propio gobierno [CAN.GetAdjective] se ha proclamado un "orgulloso defensor del pueblo [GER.GetAdjective], del mismo modo que [GER.GetNameDef] lo será del [CAN.GetAdjective]".\n\nAunque se desconocen los detalles de la entrada de [CAN.GetNameDef] en el pacto, se prevé un inminente inicio de las hostilidades contra los enemigos de [GER.GetNameDef]. Este podría ser un momento decisivo para la guerra."
 news.247.a:0 "¡Un avance impactante!"
 news.247.b:0 "¡Ayudaremos a nuestros aliados europeos!"
 news.247.c:0 "¡Pueblos que se alzan juntos!"
 news.247.e:0 "¡Pueblo [CAN.GetAdjective], sois unos malditos volubles!"
 news.248.t:0 "[ENG.GetNameDef] claudica en los territorios del noreste"
 news.248.d:0 "Tras la creciente presión diplomática de [CAN.GetNameDef], [ENG.GetNameDef] ha cedido los territorios de Labrador y Terranova al estado [CAN.GetAdjective]. La vieja aspiración de los políticos [CAN.GetAdjective] de "unificar todos los territorios [CAN.GetAdjective] legítimos" está ahora más cerca de convertirse en una realidad.\n\nClaro, que la pregunta ahora es saber cuáles son dichos "territorios [CAN.GetAdjective] legítimos". No solo [ENG.GetNameDef], sino todo el continente norteamericano dormirá a partir de ahora con un ojo abierto."
 news.248.a:0 "[ENG.GetNameDef] ha perdido su territorio de apoyo en Norteamérica..."
 news.248.b:0 "Todo está como debe estar."
 news.248.c:0 "¡Bah, son cosas de poco fuste!"
 news.249.t:0 "¡[CAN.GetNameDef] y [MEX.GetNameDef] unidos!"
 news.249.d:0 "El mundo de la política [USA.GetAdjective] se ha despertado hoy con noticias preocupantes, ya que [CAN.GetNameDef] y [MEX.GetNameDef] han anunciado un nuevo pacto de defensa orientado a "contener y responder a amenazas comunes a la continuidad de la soberanía de nuestros países". La poco sutil amenaza no se esfuerza en disfrazar su intención de obstaculizar la actividad militar de [USA.GetNameDef] en el continente americano e incluso fuera de él.\n\nLos comentaristas políticos ya comparan la situación con la de Europa antes de la Gran Guerra: dos bandos con mucho que perder y ninguna forma de aliviar las tensiones. La pregunta no parece ser quién supone una mayor amenaza para el otro, sino quién lanzará primero un ataque preventivo."
 news.249.a:0 "Esto ya lo hemos visto, y acabará muy mal."
 news.249.b:0 "El ejército del norte estará listo."
 news.249.c:0 "El ejército del sur estará listo."
 news.249.e:0 "Debemos encontrar ya la manera de contrarrestar este movimiento."
 news.250.t:0 "¡Guerra civil en [MEX.GetNameDef]!"
 news.250.d:0 "¡La inestabilidad política [MEX.GetAdjective] de los últimos años ha terminado en un conflicto armado! ¡Las fuerzas del partido sinarquista han alzado sus armas, y ha estallado la guerra en las calles de las principales ciudades [MEX.GetAdjective]!\n\nEl gobierno parecía llevar las de ganar en caso de alzamiento, pero los rumores hablan de un abundante apoyo exterior a los nacionalistas. Los países vecinos observan al país con el alma en vilo. Solo el tiempo dirá en qué dirección lleva a México este conflicto."
 news.250.a:0 "Un preocupante conflicto que puede devastar a México."
 news.250.b:0 "Ahora debemos asegurarnos de que los nacionalistas se hagan con el poder."
 news.250.c:0 "Un coste elevado para nuestro país, pero que es necesario pagar."
 news.251.t:0 "[CAN.GetNameDef] desea la repatriación inmediata"
 news.251.d:0 "\n\nTras la ruptura de las negociaciones en Westminster y un debate de 63 horas sin precedentes, el Parlamento canadiense ha dado la espalda al Acta de la Norteamérica británica, y se ha acogido a la constitución de Canadá, legalmente inaccesible para el Parlamento o la monarquía británicos.\nAunque en apariencia no se trata de un movimiento antibritánico, supone un alejamiento de las políticas de la Mancomunidad de Naciones del viejo imperio.\n\nA pesar de ser un avance natural hacia la estabilidad de cualquier país, es un paso que no ayuda a aliviar la ya de por sí tensa situación de la política global."
 news.251.a:0 "Entonces, se las pueden ingeniar solos."
 news.251.b:0 "[ENG.GetNameDef] se debilita por instantes."
 news.251.c:0 "¡¿Por qué tiene que suceder esto justo ahora?!"
 news.251.e:0 "Un imperio que se deshilacha por las costuras."
 news.251.f:0 "¡De costa a costa, [CAN.GetNameDef] será libre!"
 news.252.t:0 "[CAN.GetNameDef] se une a [GER.GetFactionName]"
 news.252.d:0 "[GER.GetNameDef] y [CAN.GetNameDef] se consideran aliados naturales, y han firmado un pacto de defensa mutua. El dignatario [CAN.GetAdjective] [CAN.GetLeader] hizo pública la alianza en un discurso que aludía a un interés común [CAN.GetAdjective] y [GER.GetAdjective].\n\nTeniendo en cuenta su creciente movilización en toda Europa y el reciente distanciamiento de [CAN.GetNameDef] de la Mancomunidad de Naciones, no es difícil entrever qué tipo de intereses hay latentes.\nTanto en Europa como en América, las viejas potencias observan con cada vez mayor preocupación."
 news.252.a:0 "Esta es la dirección que está tomando el mundo..."
 news.252.b:0 "Somos la pesa que equilibra la balanza del poder."
 news.252.c:0 "¡De esta forma, la balanza del poder se inclina a nuestro favor!"
 news.252.e:0 "Un nuevo frente del que preocuparse si esto desemboca en guerra."
 news.252.f:0 "¡Somos cada vez más fuertes!"
 news.253.t:0 "[AST.GetNameDef] pretende alejarse de la Mancomunidad de Naciones"
 news.253.d:0 "\nEl primer ministro [AST.GetLeader], en su discurso de esta mañana, ha anunciado la dedicación del gobierno al crecimiento y la estabilidad como estado oceánico. Esto implica levantar la mirada hacia nuevas orillas distintas de las británicas, ya que el pueblo australiano no puede continuar cargando sobre sus hombros el peso de conflictos ajenos. En una referencia directa al discurso del rey en la apertura del parlamento, [GetLeader] se marcó un tanto: "¡Galípoli no puede volver a repetirse!".\n\nLos enfervorecidos vítores de la multitud señalan el inicio de una nueva era para la política australiana. Adónde conducirá es algo sobre lo que solo podemos especular."
 news.253.a:0 "[Root.GetFactionName] se las tendrá que ingeniar sin [AST.GetNameDef]."
 news.253.b:0 "Mirad cómo se desploma todo un imperio..."
 news.253.c:0 "¿Ahora es cuando quieren más independencia?"
 news.253.e:0 "Las repercusiones en el Pacífico serán numerosas."
 news.253.f:0 "¡Nos jugamos nuestro propio destino!"
 news.254.t:0 "[AST.GetNameDef] y Nueva Zelanda, "unidas""
 news.254.d:0 "[AST.GetNameDef], haciendo valer su independencia absoluta, ha comenzado a ejercer su influencia en el Pacífico Sur. El gobierno [AST.GetAdjective] ha exigido que todos los antiguos estados coloniales de Oceanía se sometan a su autoridad.\n\nNegándose, como es natural, los presionados gobiernos neozelandés y [ENG.GetAdjective] comenzaron a ofrecer resistencia diplomática. Sin embargo, sin una base sobre la que proyectar la autoridad del Imperio sobre la región (papel tradicionalmente desempeñado por Australia), era solo cuestión de tiempo que [AST.GetNameDef] presentase un ultimátum respaldado por la fuerza.\nNueva Zelanda es ahora la provincia más oriental de [AST.GetNameDef]."
 news.254.a:0 "Deberíamos permanecer atentos a la situación."
 news.254.b:0 "Así debe ser."
 news.254.c:0 "¡Es una traición!"
 CAN_ANGERED_WORKERS:0 "Esto preocupará al pueblo."
 news.260.t:0 "[SAF.GetNameDef] asume la responsabilidad de las colonias africanas"
 news.260.desc:0 "En la ceremonia formal realizada hoy, [SAF.GetLeader] ha firmado el tratado que otorga a su gobierno el control sobre las dependencias británicas de África. Los territorios de Bechuanalandia, Rodesia y Kenia se administrarán ahora desde Pretoria.\nEn su comparecencia en la Cámara de los Comunes, [ENG.GetLeader] ha negado que este movimiento debilite la posición de los británicos en el continente, y lo ha llamado "un cambio sensato para la mejor administración y defensa de la zona".\nLos grupos de izquierda han protestado argumentando que vuelven a ser europeos los que deciden por encima de los pueblos de África."
 news.260.a:0 "Interesante."
 news.260.b:0 "De lo más sensato."
 news.260.c:0 "¿Es este el inicio del fin del Imperio en África?"
 news.261.t:0 "[ENG.GetNameDef] reorganiza las colonias africanas"
 news.261.desc:0 "En una votación muy ajustada, el parlamento británico ha aprobado una medida destinada fundamentalmente a reorganizar parte de las colonias de África. Esta nueva ley crea dos nuevos regímenes coloniales en los estados de Rodesia y Kenia. Estos nuevos estados dispondrán de cierta libertad para gestionar sus propios asuntos, pero también la responsabilidad de su defensa.\nAlgunos conservadores opuestos abiertamente a la decisión verbalizaron el miedo a que este no sea sino el primer paso de un proceso de descolonización.\nNo se han podido recoger comentarios de [ENG.GetLeader]."
 news.261.a:0 "Interesante."
 news.261.b:0 "Qué acuerdo tan inútil."
 news.261.c:0 "Parece ser una forma de que prospere la Mancomunidad de Naciones."
 news.262.t:0 "La guerra civil sudafricana"
 news.262.desc:0 "Las tensiones latentes desde hace tiempo en [SAF.GetName] acaban de estallar en una guerra abierta. Los nacionalistas fascistas sostienen que las políticas del gobierno unionista democrático amenazan el modo de vida [SAF.GetAdjective]. Los unionistas, dicen, traicionan la memoria de los valientes que lucharon en la guerra de los bóeres al apoyar de manera incondicional a [ENG.GetName].\n\nEl gobierno provisional nacionalista, con [SAF.GetLeader] al frente, pide a todos los patriotas que se unan para devolver la libertad a Sudáfrica mediante las armas. El gobierno unionista de Pretoria ha tildado a los nacionalistas de "insurgentes y traidores de la peor calaña que serán juzgados proporcionalmente a sus crímenes". Dado que las fuerzas militares han dividido su apoyo hacia ambos bandos, puede que el conflicto en Sudáfrica tarde en resolverse."
 news.262.a:0 "Deberíamos plantearnos enviar apoyo."
 news.262.b:0 "Se veía venir desde hace tiempo."
 news.262.c:0 "Quizá las mayores amenazas están dentro de nuestras fronteras..."
 news.263.t:0 "Protestas antimonárquicas en [SAF.GetNameDef]"
 news.263.desc:0 "Una oleada de manifestaciones antimonárquicas, muchas de ellas con final violento, barre Sudáfrica. Miles de protestantes se han lanzado a las calles arrasando comisarías y edificios gubernamentales, y han destruido retratos del rey rasgando, cortando, quemando e incluso, en una ocasión, empleando ácido. Se ha visto a la policía y al ejército poco dispuestos a contener la insurreción, y han optado por defender fábricas y puentes. La pregunta que surge ahora es si las revueltas han pillado realmente por sorpresa al gobierno."
 news.263.a:0 "¿Se fragua una revolución?"
 news.263.b:0 "Sin comentarios."
 news.263.c:0 "Quizá las mayores amenazas están dentro de nuestras fronteras..."
 news.264.t:0 "La Unión del Pueblo Africano"
 news.264.desc:0 "Los miembros fundadores de [SAF.GetFactionName] se han reunido en Pretoria para anunciar la creación de su nueva alianza. Los observadores europeos percibieron rápidamente que el único gobierno legítimo presente era el gobierno de [SAF.GetNameDef], con [SAF.GetLeader] presidiendo una variopinta asamblea de autoproclamados gobernantes en el exilio y otros grupos revolucionarios.\n\nLas partes presentes comunicaron una declaración conjunta en la que exigen a las potencias imperialistas europeas que cedan las tierras africanas en su posesión a sus legítimos dueños de inmediato, condenan las prácticas colonialistas y juran liberar a los pueblos africanos oprimidos empleando cualquier medida necesaria."
 news.264.a:0 "¿Africanos gobernándose?"
 news.264.b:0 "El primer paso del camino hacia la verdadera libertad."
 news.264.c:0 "Veamos si sus ideales resisten a las guerras que nos aguardan."
 news.264.d:0 "Al fin y al cabo, no son comunistas de verdad."
 news.265.t:0 "Apremio [SAF.GetAdjective] a Francia"
 news.265.desc:0 "Por si no bastase con la sorprendente derrota de Francia en su propia casa, la legitimidad de su imperio colonial ha quedado en entredicho. Los gobiernos de [SOV.GetNameDef] y [SAF.GetNameDef] han emitido una declaración conjunta en la que afirman que Francia ya no puede mantener el orden en Madagascar, y reclaman la entrega de la isla a [SAF.GetNameDef].\n\nEl gobierno libre francés se ha reunido para discutir el problema. Los expertos en defensa creen improbable que las exiguas fuerzas francesas fuesen capaces de defender la isla en caso de guerra."
 news.265.a:0 "Son tiburones que han olido sangre."
 news.265.b:0 "Veamos si los franceses son razonables."
 news.265.c:0 "Los franceses están acabados."
 news.265.d:0 "Otra victoria sin derramamiento de sangre para el comunismo."
 news.270.t:0 "El nacimiento del escudo [NZL.GetAdjective]"
 news.270.desc:0 "El nuevo tanque de la fuerza defensiva neozelandesa, el Bob Semple, ya recorre las calles principales de la capital como testigo del ingenio y el espíritu luchador del pueblo [NZL.GetAdjective]. Con sus seis ametralladoras y una armadura de planchas de hierro a prueba de balas, será probablemente el mayor obstáculo al que deba enfrentarse cualquier invasor.\n\nAlgunos expertos de dudosa reputación señalan el rendimiento mediocre y escaso armamento del vehículo como razones para no construirlo, pero como dijo el primer ministro [NZL.GetLeader] durante la ceremonia oficial de aceptación del vehículo, la defensa en este preciso momento del país es tan crucial que no podemos esperar o exigir un equipo perfecto."
 news.270.a:0 "¡Eso sí que es un tanque!"
 news.270.b:0 "A eso le llaman... ¿qué?"
 news.271.t:0 "Big Bob entra en escena"
 news.271.desc:0 "Tras el éxito abrumador del tanque Bob Semple, el alto mando de la fuerza defensiva de [NZL.GetName] ha solicitado la producción de una versión mejorada. Con una altura de cuatro metros y medio y con un peso superior a 120 toneladas, el nuevo vehículo inspira temor en el más amplio sentido de  la palabra. Su armamento consiste en unos cañones gemelos antitanque de 17 libras respaldados por cuatro cañones antiaéreos en una montura cuádruple que dará buena cuenta e cualquier enemigo, mientras que su blindaje pesado, probado exhaustivamente para que sea realmente a prueba de balas, permitirá que se adentre sin miedo en el campo de batalla.\n\nDurante la ceremonia de presentación, un observador dijo de él que era "el tanque más memorable jamás producido", mientras que otro lo llamó "incomparable".\nSu producción en masa comenzará este mes."
 news.271.a:0 "¡El mundo tiembla al ver nuestros tanques!"
 news.271.b:0 "El mundo tiembla... de risa."
 britain.1.c:0 "Deberíamos aspirar a una cooperación a largo plazo."
 britain.21.t:0 "Tizard triunfante"
 britain.21.d:0 "El gobierno de EE. UU. no solo ha accedido a nuestra propuesta inicial: también ha ofrecido una mayor cooperación a largo plazo entre investigadores de nuestras naciones."
 britain.21.a:0 "¡Sobresaliente!"
 news.272.t:0 "La hambruna de Bengala ataca"
 news.272.desc:0 "Los desastres naturales, la incompetencia de la administración y los estragos de la guerra han conspirado para provocar una oleada de hambre en la India.\n\nTras el paso de un ciclón que devastó gran parte de la zona y arrasó prácticamente con todas las cosechas de arroz, los administradores coloniales han tardado en solucionar el problema, algunos dirían que incluso demasiado. A pesar de que la comida sobra en otras regiones de la India, no se ha enviado ayuda humanitaria por temor a que cayera en manos del enemigo.\n\nGran parte de la zona ha sido devastada, y todavía no se han calculado las muertes ni la producción perdida."
 news.272.a:0 "Una tragedia."
 news.272.b:0 "Es horrible."
 news.272.c:0 "No se puede hacer nada al respecto."
 news.273.t:0 "El hambre termina en Bengala"
 news.273.desc:0 "Tras meses de relativa inactividad, el gobierno colonial y el ejército de la India por fin han decidido actuar. Han empezado a distribuir alimentos en las zonas afectadas, mientras que las nuevas cosechas de arroz han superado las expectativas.\n\nNo obstante, el precio de los alimentos allí sigue siendo elevado, y los efectos a largo plazo de la hambruna no pueden estimarse."
 news.273.a:0 "Al menos ya se ha acabado."
 news.273.b:0 "Por fin."
 news.280.t:0 "La India consigue la autonomía"
 news.280.desc:0 "Tras una tensa reunión entre el embajador [GER.GetAdjective] y el ministro de asuntos exteriores [ENG.GetAdjective], el gobierno de [ENG.GetNameDef] ha anunciado hoy que, de ahora en adelante, [RAJ.GetNameDef] podrá dictaminar sus propias leyes. Los siglos de dominio británico en el subcontinente terminaron con una celeridad sorprendente cuando enviaron a casa a los funcionarios y la administración local fue entregada a los hindúes.\n\nUna de las primeras acciones de la nueva dirección hindú fue anunciar una colaboración de gran envergadura con [GER.GetNameDef]. El gobierno hindú se abstuvo de responder a las alegaciones de que este ha sido el precio a pagar por el apoyo alemán."
 news.280.a:0 "Genial."
 news.280.b:0 "¿Este será el fin del Imperio Británico?"
 news.280.c:0 "Un valioso aliado."
 news.280.d:0 "No es nuestro mejor momento."
 news.281.t:0 "La India consigue la autonomía"
 news.281.desc:0 "En una declaración conjunta, el ministro de asuntos exteriores [ENG.GetAdjective], visiblemente conmovido, y el embajador [SOV.GetAdjective] anunciaron que la India gozará de una soberanía plena sobre sus propios asuntos. No tenemos claro el papel que [SOV.GetNameDef] ha desempeñado en este repentino cambio en la política [ENG.GetAdjective], pero todo apunta a que ha sido fundamental.\n\nUna de las primeras acciones de la nueva dirección hindú ha sido anunciar una colaboración más estrecha con [SOV.GetNameDef], lo que respalda los rumores de la intervención de [SOV.GetNameDef] en su nombre."
 news.281.a:0 "Genial."
 news.281.b:0 "¿Este será el fin del Imperio Británico?"
 news.281.c:0 "Un valioso aliado."
 news.281.d:0 "No es nuestro mejor momento."
 news.282.t:0 "Movimiento Fuera de la India"
 news.282.desc:0 "Últimamente, las reivindicaciones de independencia han cobrado fuerza en la India. Ahora la situación ha llegado a un punto en el que el movimiento radical Fuera de la India ha exigido que [ENG.GetNameDef] abandone el país lo antes posible. Sin embargo, las autoridades [ENG.GetAdjective] no han tardado en responder y han tomado medidas contra el movimiento al arrestar a varios líderes por toda la India irrumpiendo en sus casas por sorpresa.\n\nAun así, los informes redactados por la Special Branch indican que numerosos simpatizantes todavía andan sueltos, y muchos funcionarios han expresado su temor a que el movimiento extremista pueda recurrir incluso a la violencia."
 news.282.a:0 "El futuro sigue siendo una incógnita."
 news.282.b:0 "Otra nefasta tentativa de libertad."
 news.283.t:0 "El Congreso Nacional Indio triunfa en las elecciones provinciales"
 news.283.desc:0 "En las últimas elecciones locales, el Congreso Nacional Indio ha logrado una mayoría aplastante gracias a su programa electoral, que aboga por una transición lenta y ordenada a un gobierno local, y por un futuro estado de dominio.\n\nParece que los hindúes han rechazado la política de Ghandi, más radical, que defendía la ruptura total con Gran Bretaña y una autonomía absoluta e inmediata."
 news.283.a:0 "Ellos nos guiarán hacia la libertad."
 news.283.b:0 "¿De verdad los votos cambian algo?"
 news.284.t:0 "El movimiento Swaraj hace progresos en las elecciones provinciales"
 news.284.desc:0 "Esta mañana, los funcionarios británicos han encajado un duro golpe con los resultados de las elecciones provinciales. Ha quedado patente que una gran mayoría de hindúes ha votado por los candidatos pro-Swaraj. Se ha empezado a hacer llamamientos en las provincias de toda la India para convertir el insignificante gobierno local en uno autónomo y total lo antes posible.\n\nUn portavoz del gobierno [ENG.GetAdjective] ha declarado que todavía no es el momento de contemplar dichas medidas, y que es imposible otorgar más autoridad a los hindúes."
 news.284.a:0 "La libertad está al alcance."
 news.284.b:0 "Los británicos jamás lo apoyarán."
 britain.22.t:0 "Stanley Baldwin renuncia"
 britain.22.d:0 "Dos semanas después de la coronación del rey Jorge VI, el señor Baldwin ha anunciado que renunciará como primer ministro para jubilarse a los 70 años. Ha dirigido el Gobierno Nacional de manera intermitente desde 1923 y fue el férreo responsable de la salida del Imperio Británico de la Gran Depresión. En los últimos años supervisó a regañadientes los primeros pasos del rearme imperial y la abdicación del rey Eduardo VIII. Ahora abandona el cargo como un primer ministro popular y competente, pero ¿sus acciones bastaron para contrarrestar la creciente amenaza de Alemania?"
 britain.22.a:0 "El señor Chamberlain buscará formar un gobierno."
 france.31.t:0 "Édouard Daladier renuncia"
 france.31.d:0 "Con la caída de la Tercera República y la negativa del gobierno alemán a ofrecer un armisticio, la tarea de seguir luchando en las colonias debe recaer sobre una nueva administración. Pese a que algunos pueden poner en entredicho la validez de Daladier como primer ministro, él no podía competir con las extraordinarias circunstancias en las que se hallaba Francia. Solo queda rezar por que haya luz al final del túnel."
 france.31.a:0 "Monsieur Reynaud buscará formar un gobierno."
 news.285.t:0 "Pakistán libre"
 news.285.desc:1 "Siguiendo la teoría de las dos naciones, los minoritarios musulmanes han recibido una patria soberana en zonas cuya población es mayoritariamente musulmana. Al principio la bautizaron como Pakstan para reflejar la convivencia entre el pueblo punyab, el afgano, el cachemir, el sindhi y el baluchi, pero luego pasó a llamarse Pakistán para facilitar la pronunciación.\n\nNo obstante, las tensiones entre la recién liberada India y Pakistán persisten, ya que ambos países reclaman zonas fronterizas. Algunos observadores advierten incluso de una nueva guerra en el subcontinente."
 news.285.a:0 "Tal vez este fuera el único modo."
 news.285.b:0 "¡Libertad!"
 news.285.c:0 "Veamos si la paz perdura."
 news.286.t:0 "Australia corta lazos con Gran Bretaña"
 news.286.desc:0 "\nTras una acalorada y reñida votación, el parlamento [AST.GetAdjective] ha decidido por una pequeña mayoría que el país debería separarse del Imperio Británico. Los últimos vestigios del gobierno legal británico han sido anulados. [AST.GetLeader] ya ha firmado para legislar la decisión, rompiendo así con la antigua tradición legal, en la que el consentimiento real debía ser otorgado por el gobernador general, y convirtiendo a [AST.GetNameDef] en una nación completamente soberana.\n\nEl parlamento también ha votado para formar un comité constitucional que tratará y proporcionará consejo sobre los cambios que se deban realizar en la constitución para invalidar la intervención británica en los asuntos [AST.GetAdjective]."
 news.286.a:0 "Una mera formalidad a estas alturas."
 news.286.b:0 "¡Libertad!"
 news.286.c:0 "Australia abandona la Mancomunidad."
 soviet.60.t:0 "El reparto de Polonia"
 soviet.60.d:0 "Polonia es nuestra, pero las zonas occidentales están bajo la esfera de influencia [GER.GetAdjective], según lo estipulado en el Pacto Molotov-Ribbentrop. ¿Deberíamos retirar nuestras fuerzas y dejar que los [GER.GetAdjective]s ocupen este territorio? Si no lo hacemos, el pacto quedaría anulado."
 soviet.60.a:0 "Sí, ahora no es momento de romper tratados."
 soviet.60.b:0 "¡No! ¡Toda Polonia pertenece a la patria!"
 soviet.61.t:0 "Los soviéticos cumplen el pacto"
 soviet.61.d:0 "De acuerdo con el tratado, los [SOV.GetAdjective]s han entregado a nuestra administración la parte occidental de Polonia. Las tropas alemanas ya se han trasladado allí para garantizar la seguridad."
 soviet.61.a:0 "Excelente."
 soviet.62.t:0 "Los soviéticos incumplen el pacto"
 soviet.62.d:0 "Pese a sus reiteradas garantías, los soviéticos aún no han retirado sus tropas ni han realizado movimientos para entregar los territorios y restablecer las fronteras pactadas. No parece que tengan intención de cumplir el tratado."
 soviet.62.a:0 "¡No ha merecido la pena firmarlo!"
 FIN_agree_peace:0 "Finlandia acepta las exigencias soviéticas y cede §YCarelia, Salla y Petsamo§!."
 news.287.t:0 "Alemania ocupa el oeste de Polonia"
 news.287.desc:0 "Las tropas alemanas han ocupado el oeste de Polonia con el fin de proteger a las minorías alemanas del caos provocado por la caída del gobierno polaco. \n\nLas fuerzas soviéticas se han retirado en orden de esa zona. Como resultado, Polonia ha quedado repartida entre las dos potencias."
 news.287.a:0 "¡Una historia posible!"
 news.287.b:0 "Nos llevaremos lo demás en su momento..."
 news.287.c:0 "El fascismo avanza... por ahora."
 news.288.t:0 "Se forma el Frente Unido chino"
